PERSON_ID,PLAYER_FIRST_NAME,PLAYER_LAST_NAME,birthCountry,height,weight,POSITION,from_year,to_year,isG,isF,isC,season
1631099,Keegan,Murray,USA,6-8,225,Forward,2022.0,2023.0,0,1,0,2021-22
1631099,Keegan,Murray,USA,6-8,225,Forward,2022.0,2023.0,0,1,0,2022-23
203488,Mike,Muscala,USA,6-11,240,Forward-Center,2013.0,2023.0,0,1,1,2021-22
203488,Mike,Muscala,USA,6-11,240,Forward-Center,2013.0,2023.0,0,1,1,2022-23
1629004,Svi,Mykhailiuk,Ukraine,6-7,205,Guard-Forward,2018.0,2023.0,1,1,0,2021-22
1629004,Svi,Mykhailiuk,Ukraine,6-7,205,Guard-Forward,2018.0,2023.0,1,1,0,2022-23
1626204,Larry,Nance Jr.,USA,6-8,245,Forward-Center,2015.0,2023.0,0,1,1,2021-22
1626204,Larry,Nance Jr.,USA,6-8,245,Forward-Center,2015.0,2023.0,0,1,1,2022-23
1629614,Andrew,Nembhard,Canada,6-3,191,Guard-Forward,2022.0,2023.0,1,1,0,2021-22
1629614,Andrew,Nembhard,Canada,6-3,191,Guard-Forward,2022.0,2023.0,1,1,0,2022-23
1630612,RJ,Nembhard,USA,6-4,200,Guard,2021.0,2021.0,1,0,0,2021-22
1630174,Aaron,Nesmith,USA,6-5,215,Guard-Forward,2020.0,2023.0,1,1,0,2021-22
1630174,Aaron,Nesmith,USA,6-5,215,Guard-Forward,2020.0,2023.0,1,1,0,2022-23
203526,Raul,Neto,Brazil,6-2,180,Guard,2015.0,2023.0,1,0,0,2021-22
203526,Raul,Neto,Brazil,6-2,180,Guard,2015.0,2023.0,1,0,0,2022-23
1629005,Malik,Newman,USA,6-3,190,Guard,2019.0,2021.0,1,0,0,2021-22
1630227,Daishen,Nix,USA,6-4,226,Guard,2021.0,2022.0,1,0,0,2021-22
1630227,Daishen,Nix,USA,6-4,226,Guard,2021.0,2022.0,1,0,0,2022-23
1630192,Zeke,Nnaji,USA,6-9,240,Forward-Center,2020.0,2023.0,0,1,1,2021-22
1630192,Zeke,Nnaji,USA,6-9,240,Forward-Center,2020.0,2023.0,0,1,1,2022-23
203457,Nerlens,Noel,USA,6-10,220,Center-Forward,2013.0,2022.0,0,1,1,2021-22
203457,Nerlens,Noel,USA,6-10,220,Center-Forward,2013.0,2022.0,0,1,1,2022-23
1628373,Frank,Ntilikina,France,6-4,200,Guard,2017.0,2023.0,1,0,0,2021-22
1628373,Frank,Ntilikina,France,6-4,200,Guard,2017.0,2023.0,1,0,0,2022-23
1629134,Kendrick,Nunn,USA,6-3,190,Guard,2018.0,2023.0,1,0,0,2021-22
1629134,Kendrick,Nunn,USA,6-3,190,Guard,2018.0,2023.0,1,0,0,2022-23
203994,Jusuf,Nurkic,Bosnia and Herzegovina,7-0,290,Center,2014.0,2023.0,0,0,1,2021-22
203994,Jusuf,Nurkic,Bosnia and Herzegovina,7-0,290,Center,2014.0,2023.0,0,0,1,2022-23
1628021,David,Nwaba,USA,6-5,219,Guard-Forward,2016.0,2021.0,1,1,0,2021-22
1629670,Jordan,Nwora,USA,6-9,225,Forward,2020.0,2023.0,0,1,0,2021-22
1629670,Jordan,Nwora,USA,6-9,225,Forward,2020.0,2023.0,0,1,0,2022-23
1626220,Royce,O'Neale,USA,6-6,226,Forward,2017.0,2023.0,0,1,0,2021-22
1626220,Royce,O'Neale,USA,6-6,226,Forward,2017.0,2023.0,0,1,0,2022-23
1628400,Semi,Ojeleye,USA,6-6,240,Forward,2017.0,2021.0,0,1,0,2021-22
1629643,Chuma,Okeke,USA,6-8,229,Forward,2020.0,2023.0,0,1,0,2021-22
1629643,Chuma,Okeke,USA,6-8,229,Forward,2020.0,2023.0,0,1,0,2022-23
1629006,Josh,Okogie,Nigeria,6-4,213,Guard,2018.0,2023.0,1,0,0,2021-22
1629006,Josh,Okogie,Nigeria,6-4,213,Guard,2018.0,2023.0,1,0,0,2022-23
1630171,Isaac,Okoro,USA,6-5,225,Forward-Guard,2020.0,2023.0,1,1,0,2021-22
1630171,Isaac,Okoro,USA,6-5,225,Forward-Guard,2020.0,2023.0,1,1,0,2022-23
1629644,KZ,Okpala,USA,6-8,215,Forward-Guard,2019.0,2022.0,1,1,0,2021-22
