player_id,year,FGA,FGM,FGA_3pt,FGM_3pt,eFG,three_rate
1627780,2022,323,198,51,36,0.6687306501547987,0.15789473684210525
1627780,2023,60,34,8,3,0.5916666666666667,0.13333333333333333
1627782,2022,4,1,2,1,0.375,0.5
1627783,2022,1125,556,293,126,0.5502222222222222,0.2604444444444444
1627783,2023,1156,553,351,162,0.5484429065743944,0.3036332179930796
1627788,2022,401,153,120,41,0.43266832917705733,0.29925187032418954
1627788,2023,85,36,21,10,0.4823529411764706,0.24705882352941178
1627789,2022,165,65,19,8,0.41818181818181815,0.11515151515151516
1627814,2022,323,138,95,45,0.4969040247678019,0.29411764705882354
1627814,2023,403,179,102,38,0.4913151364764268,0.2531017369727047
1627820,2022,20,7,8,3,0.425,0.4
1627822,2022,14,5,1,0,0.35714285714285715,0.07142857142857142
1627823,2022,94,38,11,8,0.44680851063829785,0.11702127659574468
1627823,2023,113,48,24,11,0.47345132743362833,0.21238938053097345
1627826,2022,405,251,71,31,0.6580246913580247,0.17530864197530865
1627826,2023,477,307,71,32,0.6771488469601677,0.1488469601677149
1627827,2022,653,312,81,35,0.5045941807044411,0.12404287901990811
1627827,2023,446,178,56,24,0.4260089686098655,0.12556053811659193
1627832,2022,1024,420,405,169,0.49267578125,0.3955078125
1627832,2023,1017,401,409,160,0.4729596853490659,0.40216322517207476
1627846,2022,35,12,5,1,0.35714285714285715,0.14285714285714285
1627853,2022,12,6,2,1,0.5416666666666666,0.16666666666666666
1627853,2023,30,9,10,2,0.3333333333333333,0.3333333333333333
1627854,2022,499,218,168,74,0.5110220440881763,0.3366733466933868
1627854,2023,73,24,32,10,0.3972602739726027,0.4383561643835616
1627863,2022,173,68,33,15,0.43641618497109824,0.1907514450867052
1627863,2023,163,76,46,22,0.5337423312883436,0.2822085889570552
1627884,2022,174,96,37,18,0.603448275862069,0.21264367816091953
1627884,2023,207,104,41,26,0.5652173913043478,0.19806763285024154
1627885,2023,36,15,10,2,0.4444444444444444,0.2777777777777778
1627936,2022,212,84,51,22,0.4481132075471698,0.24056603773584906
1627936,2023,259,116,46,23,0.4922779922779923,0.1776061776061776
1628021,2022,144,69,17,9,0.5104166666666666,0.11805555555555555
1628035,2022,54,21,9,4,0.42592592592592593,0.16666666666666666
1628221,2022,7,2,0,0,0.2857142857142857,0.0
1628221,2023,21,8,5,0,0.38095238095238093,0.23809523809523808
1628238,2022,6,2,0,0,0.3333333333333333,0.0
1628365,2022,165,78,64,25,0.5484848484848485,0.3878787878787879
1628365,2023,627,322,224,113,0.6036682615629984,0.3572567783094099
1628366,2022,329,138,70,28,0.46200607902735563,0.2127659574468085
1628367,2022,264,104,70,28,0.44696969696969696,0.26515151515151514
1628368,2022,1018,488,435,201,0.5780943025540275,0.42730844793713163
1628368,2023,1224,630,539,258,0.6200980392156863,0.440359477124183
1628369,2022,1403,627,425,173,0.5085531004989309,0.3029223093371347
1628369,2023,1408,662,433,160,0.5269886363636364,0.3075284090909091
1628370,2022,739,351,188,78,0.5277401894451962,0.2543978349120433
1628370,2023,754,335,194,72,0.4920424403183024,0.2572944297082228
1628371,2023,47,18,7,1,0.39361702127659576,0.14893617021276595
1628372,2022,182,76,46,17,0.4642857142857143,0.25274725274725274
1628372,2023,425,176,111,35,0.45529411764705885,0.2611764705882353
1628373,2022,195,78,52,20,0.4512820512820513,0.26666666666666666
1628373,2023,123,44,24,12,0.4065040650406504,0.1951219512195122
1628374,2022,670,298,67,37,0.47238805970149256,0.1
1628374,2023,1082,536,170,85,0.5346580406654344,0.15711645101663585
1628378,2022,1159,518,461,180,0.5245901639344263,0.39775668679896464
1628378,2023,1247,602,575,264,0.5886126704089816,0.4611066559743384
1628379,2022,537,240,141,67,0.5093109869646183,0.26256983240223464
1628379,2023,348,172,90,42,0.5545977011494253,0.25862068965517243
1628380,2022,101,48,10,7,0.5099009900990099,0.09900990099009901
1628380,2023,510,266,57,28,0.5490196078431373,0.11176470588235295
1628381,2022,602,320,94,51,0.5739202657807309,0.15614617940199335
1628381,2023,616,306,83,41,0.5300324675324676,0.13474025974025974
1628382,2022,15,5,6,1,0.36666666666666664,0.4
1628382,2023,26,7,4,2,0.3076923076923077,0.15384615384615385
1628384,2022,669,293,134,47,0.4730941704035874,0.20029895366218237
1628384,2023,806,384,144,56,0.511166253101737,0.17866004962779156
1628386,2022,495,335,39,29,0.706060606060606,0.07878787878787878
1628386,2023,522,337,58,35,0.6791187739463601,0.1111111111111111
1628389,2022,653,359,136,61,0.5964777947932619,0.2082695252679939
1628389,2023,982,525,250,126,0.5987780040733197,0.2545824847250509
1628391,2022,15,11,6,3,0.8333333333333334,0.4
1628392,2022,311,191,65,36,0.6720257234726688,0.2090032154340836
1628392,2023,295,158,80,38,0.6,0.2711864406779661
1628396,2022,114,71,24,17,0.6973684210526315,0.21052631578947367
1628396,2023,11,6,2,0,0.5454545454545454,0.18181818181818182
1628398,2022,894,402,186,81,0.4949664429530201,0.2080536912751678
1628398,2023,1042,475,251,102,0.5047984644913628,0.24088291746641075
1628400,2022,75,25,10,3,0.35333333333333333,0.13333333333333333
1628401,2022,719,299,219,103,0.4874826147426982,0.3045897079276773
1628401,2023,712,326,206,93,0.5231741573033708,0.2893258426966292
1628402,2022,444,181,93,47,0.4605855855855856,0.20945945945945946
1628402,2023,3,0,2,0,0.0,0.6666666666666666
1628404,2022,505,252,110,47,0.5455445544554456,0.21782178217821782
1628404,2023,466,243,88,40,0.5643776824034334,0.1888412017167382
1628408,2022,89,34,25,9,0.43258426966292135,0.2808988764044944
1628408,2023,33,10,12,4,0.36363636363636365,0.36363636363636365
1628410,2023,229,102,35,13,0.4737991266375546,0.15283842794759825
1628411,2022,8,3,1,1,0.4375,0.125
1628415,2022,471,204,175,78,0.5159235668789809,0.37154989384288745
1628415,2023,820,325,288,108,0.46219512195121953,0.35121951219512193
1628416,2023,1,0,0,0,0.0,0.0
1628418,2022,137,71,11,3,0.5291970802919708,0.08029197080291971
